entity_key,canonical_name,motif_key,motif_type,subtype,cooccurrence_count
person_xue_baochai,薛寶釵,motif_snow,自然,雪,3
person_xiren,襲人,motif_snow,自然,雪,3
person_xiren,襲人,motif_stone,物象,石,3
person_jia_yuanchun,賈元春,motif_fragrance,感官,香氣,3
person_jia_yuanchun,賈元春,motif_gold,物象,金,3
person_jia_baoyu,賈寶玉,motif_peach_blossom,花木,桃花,3
person_jia_xichun,賈惜春,motif_book,文藝,書,3
person_jia_xichun,賈惜春,motif_flower,花木,泛花,3
person_jia_xichun,賈惜春,motif_moon,自然,月,3
person_jia_xichun,賈惜春,motif_purple,顏色,紫色,3
person_jia_xichun,賈惜春,motif_song_drama,文藝,曲,3
person_jia_xichun,賈惜春,motif_wind,自然,風,3
person_jia_tanchun,賈探春,motif_snow,自然,雪,3
person_jia_tanchun,賈探春,motif_willow,花木,柳,3
person_jia_zheng,賈政,motif_purple,顏色,紫色,3
person_jia_zheng,賈政,motif_snow,自然,雪,3
person_jia_mu,賈母,motif_song_drama,文藝,曲,3
person_jia_zhen,賈珍,motif_fragrance,感官,香氣,3
person_jia_zhen,賈珍,motif_wind,自然,風,3
person_jia_huan,賈環,motif_book,文藝,書,3
person_jia_huan,賈環,motif_illness,身體,疾病,3
person_jia_rong,賈蓉,motif_book,文藝,書,3
person_jia_rong,賈蓉,motif_illness,身體,疾病,3
person_jia_rong,賈蓉,motif_white,顏色,白色,3
person_jia_she,賈赦,motif_illness,身體,疾病,3
person_jia_yingchun,賈迎春,motif_gold,物象,金,3
person_jia_yingchun,賈迎春,motif_medicine,身體,藥,3
person_jia_yingchun,賈迎春,motif_tears,情感身體,哭泣,3
